ID_Pedido,Data,Produto,Quantidade,Preço_Unitário,Status_Pagamento
1001,2023-01-03,iPhone 13,2,4599.90,Aprovado
1002,05/01/2023,Samsung Galaxy S21,,3199.00,Pendente
1003,2023-01-07,Notebook Dell Inspiron,1,4299.00,Aprovado
1004,2023-01-10,iphone13,3,4599.90,Cancelado
1005,12/01/2023,Headphone Sony WH-1000XM4,2,1499.00,Aprovado
1006,2023-01-15,iPad Pro,1,7999.00,Aprovado
1007,2023-01-18,SAMSUNG GALAXY S21,,3199.00,Pendente
1008,20/01/2023,Mouse Logitech MX Master,4,699.00,Aprovado
1009,2023-01-22,Notebook Dell inspiron,2,4299.00,Aprovado
1010,2023-01-25,Teclado Mecânico Redragon,1,399.00,Cancelado
1011,28/01/2023,iPhone 13,1,4599.90,Aprovado
1012,2023-02-01,Monitor LG 27",3,1899.00,Aprovado
1013,2023-02-04,headphone sony wh-1000xm4,1,1499.00,Pendente
1014,2023-02-06,SSD Kingston 1TB,,349.00,Aprovado
1015,08/02/2023,iPad pro,2,7999.00,Aprovado
1016,2023-02-11,Webcam Logitech C920,5,799.00,Aprovado
1017,2023-02-14,IPHONE 13,1,4599.90,Cancelado
1018,15/02/2023,Notebook Dell Inspiron,,4299.00,Aprovado
1019,2023-02-18,Fonte Corsair 650W,2,599.00,Pendente
1020,2023-02-20,mouse logitech mx master,3,699.00,Aprovado
1021,22/02/2023,Samsung Galaxy S21,1,3199.00,Aprovado
1022,2023-02-25,Placa de Vídeo RTX 3060,1,2899.00,Aprovado
1023,2023-03-01,ipad pro,2,7999.00,Cancelado
1024,03/03/2023,Teclado Mecânico Redragon,4,399.00,Aprovado
1025,2023-03-06,SSD Kingston 1TB,1,349.00,Aprovado
1026,2023-03-09,iPhone 13,,4599.90,Pendente
1027,11/03/2023,NOTEBOOK DELL INSPIRON,2,4299.00,Aprovado
1028,2023-03-14,Headphone Sony WH-1000XM4,1,1499.00,Aprovado
1029,2023-03-17,Monitor LG 27",3,1899.00,Aprovado
1030,20/03/2023,samsung galaxy s21,2,3199.00,Cancelado
1031,2023-03-23,Webcam Logitech C920,,799.00,Aprovado
1032,2023-03-26,Placa de Vídeo RTX 3060,1,2899.00,Aprovado
1033,28/03/2023,iPad Pro,2,7999.00,Aprovado
1034,2023-04-01,Fonte Corsair 650W,3,599.00,Pendente
1035,2023-04-04,iphone 13,1,4599.90,Aprovado
1036,06/04/2023,Mouse Logitech MX Master,2,699.00,Aprovado
1037,2023-04-09,Notebook Dell Inspiron,,4299.00,Aprovado
1038,2023-04-12,teclado mecânico redragon,5,399.00,Cancelado
1039,14/04/2023,SSD Kingston 1TB,1,349.00,Aprovado
1040,2023-04-17,Samsung Galaxy S21,2,3199.00,Aprovado
1041,2023-04-20,HEADPHONE SONY WH-1000XM4,,1499.00,Pendente
1042,22/04/2023,Monitor LG 27",1,1899.00,Aprovado
1043,2023-04-25,iPad Pro,3,7999.00,Aprovado
1044,2023-04-28,Webcam Logitech C920,2,799.00,Aprovado
1045,30/04/2023,placa de vídeo rtx 3060,1,2899.00,Cancelado
1046,2023-05-03,iPhone 13,4,4599.90,Aprovado
1047,2023-05-06,Fonte Corsair 650W,,599.00,Aprovado
1048,08/05/2023,notebook dell inspiron,2,4299.00,Pendente
1049,2023-05-11,Mouse Logitech MX Master,1,699.00,Aprovado
1050,2023-05-14,SSD Kingston 1TB,3,349.00,Aprovado
1051,16/05/2023,SAMSUNG GALAXY S21,2,3199.00,Aprovado
1052,2023-05-19,Teclado Mecânico Redragon,1,399.00,Cancelado
1053,2023-05-22,ipad Pro,,7999.00,Aprovado
1054,24/05/2023,Headphone Sony WH-1000XM4,1,1499.00,Aprovado
1055,2023-05-27,Monitor LG 27",2,1899.00,Aprovado
1056,2023-05-30,IPHONE 13,1,4599.90,Aprovado
1057,01/06/2023,Placa de Vídeo RTX 3060,,2899.00,Pendente
1058,2023-06-04,Webcam Logitech C920,3,799.00,Aprovado
1059,2023-06-07,Samsung Galaxy S21,2,3199.00,Aprovado
1060,09/06/2023,fonte corsair 650w,1,599.00,Cancelado
1061,2023-06-12,Notebook Dell Inspiron,4,4299.00,Aprovado
1062,2023-06-15,Mouse Logitech MX Master,,699.00,Aprovado
1063,17/06/2023,iPhone 13,2,4599.90,Aprovado
1064,2023-06-20,SSD kingston 1tb,1,349.00,Pendente
1065,2023-06-23,iPad Pro,3,7999.00,Aprovado
1066,25/06/2023,TECLADO MECÂNICO REDRAGON,2,399.00,Aprovado
1067,2023-06-28,Headphone Sony WH-1000XM4,,1499.00,Cancelado
1068,2023-07-01,samsung Galaxy S21,1,3199.00,Aprovado
1069,03/07/2023,Monitor LG 27",2,1899.00,Aprovado
1070,2023-07-06,Placa de Vídeo RTX 3060,1,2899.00,Aprovado
1071,2023-07-09,IPAD PRO,,7999.00,Pendente
1072,11/07/2023,Webcam Logitech C920,3,799.00,Aprovado
1073,2023-07-14,iphone13,2,4599.90,Aprovado
1074,2023-07-17,Fonte Corsair 650W,1,599.00,Aprovado
1075,19/07/2023,notebook Dell Inspiron,,4299.00,Cancelado
1076,2023-07-22,Mouse Logitech MX Master,2,699.00,Aprovado
1077,2023-07-25,SSD Kingston 1TB,4,349.00,Aprovado
1078,27/07/2023,SAMSUNG galaxy s21,1,3199.00,Aprovado
1079,2023-07-30,Teclado Mecânico Redragon,2,399.00,Pendente
1080,2023-08-02,Headphone Sony WH-1000XM4,,1499.00,Aprovado
1081,04/08/2023,Monitor LG 27",1,1899.00,Aprovado
1082,2023-08-07,iPad Pro,3,7999.00,Aprovado
