IdVenda,Data,Mês,Nome do Mês,Ano,Produto,Quantidade,PreçoUnitario,StatusPagamento
1001,2023-01-03,1,Janeiro,2023,IPHONE 13,2,459990,Aprovado
1002,2023-01-05,1,Janeiro,2023,SAMSUNG GALAXY S21,1,319900,Pendente
1003,2023-01-07,1,Janeiro,2023,NOTEBOOK DELL INSPIRON,1,429900,Aprovado
1004,2023-01-10,1,Janeiro,2023,IPHONE 13,3,459990,Cancelado
1005,2023-01-12,1,Janeiro,2023,HEADPHONE SONY WH-1000XM4,2,149900,Aprovado
1006,2023-01-15,1,Janeiro,2023,IPAD PRO,1,799900,Aprovado
1007,2023-01-18,1,Janeiro,2023,SAMSUNG GALAXY S21,1,319900,Pendente
1008,2023-01-20,1,Janeiro,2023,MOUSE LOGITECH MX MASTER,4,69900,Aprovado
1009,2023-01-22,1,Janeiro,2023,NOTEBOOK DELL INSPIRON,2,429900,Aprovado
1010,2023-01-25,1,Janeiro,2023,TECLADO MECÂNICO REDRAGON,1,39900,Cancelado
1011,2023-01-28,1,Janeiro,2023,IPHONE 13,1,459990,Aprovado
1012,2023-02-01,2,Fevereiro,2023,"MONITOR LG 27""",3,189900,Aprovado
1013,2023-02-04,2,Fevereiro,2023,HEADPHONE SONY WH-1000XM4,1,149900,Pendente
1014,2023-02-06,2,Fevereiro,2023,SSD KINGSTON 1TB,2,34900,Aprovado
1015,2023-02-08,2,Fevereiro,2023,IPAD PRO,2,799900,Aprovado
1016,2023-02-11,2,Fevereiro,2023,WEBCAM LOGITECH C920,5,79900,Aprovado
1017,2023-02-14,2,Fevereiro,2023,IPHONE 13,1,459990,Cancelado
1018,2023-02-15,2,Fevereiro,2023,NOTEBOOK DELL INSPIRON,2,429900,Aprovado
1019,2023-02-18,2,Fevereiro,2023,FONTE CORSAIR 650W,2,59900,Pendente
1020,2023-02-20,2,Fevereiro,2023,MOUSE LOGITECH MX MASTER,3,69900,Aprovado
1021,2023-02-22,2,Fevereiro,2023,SAMSUNG GALAXY S21,1,319900,Aprovado
1022,2023-02-25,2,Fevereiro,2023,PLACA DE VIDEO RTX 3060,1,289900,Aprovado
1023,2023-03-01,3,Março,2023,IPAD PRO,2,799900,Cancelado
1024,2023-03-03,3,Março,2023,TECLADO MECÂNICO REDRAGON,4,39900,Aprovado
1025,2023-03-06,3,Março,2023,SSD KINGSTON 1TB,1,34900,Aprovado
1026,2023-03-09,3,Março,2023,IPHONE 13,1,459990,Pendente
1027,2023-03-11,3,Março,2023,NOTEBOOK DELL INSPIRON,2,429900,Aprovado
1028,2023-03-14,3,Março,2023,HEADPHONE SONY WH-1000XM4,1,149900,Aprovado
1029,2023-03-17,3,Março,2023,"MONITOR LG 27""",3,189900,Aprovado
1030,2023-03-20,3,Março,2023,SAMSUNG GALAXY S21,2,319900,Cancelado
1031,2023-03-23,3,Março,2023,WEBCAM LOGITECH C920,2,79900,Aprovado
1032,2023-03-26,3,Março,2023,PLACA DE VIDEO RTX 3060,1,289900,Aprovado
1033,2023-03-28,3,Março,2023,IPAD PRO,2,799900,Aprovado
1034,2023-04-01,4,Abril,2023,FONTE CORSAIR 650W,3,59900,Pendente
1035,2023-04-04,4,Abril,2023,IPHONE 13,1,459990,Aprovado
1036,2023-04-06,4,Abril,2023,MOUSE LOGITECH MX MASTER,2,69900,Aprovado
1037,2023-04-09,4,Abril,2023,NOTEBOOK DELL INSPIRON,2,429900,Aprovado
1038,2023-04-12,4,Abril,2023,TECLADO MECÂNICO REDRAGON,5,39900,Cancelado
1039,2023-04-14,4,Abril,2023,SSD KINGSTON 1TB,1,34900,Aprovado
1040,2023-04-17,4,Abril,2023,SAMSUNG GALAXY S21,2,319900,Aprovado
1041,2023-04-20,4,Abril,2023,HEADPHONE SONY WH-1000XM4,1,149900,Pendente
1042,2023-04-22,4,Abril,2023,"MONITOR LG 27""",1,189900,Aprovado
1043,2023-04-25,4,Abril,2023,IPAD PRO,3,799900,Aprovado
1044,2023-04-28,4,Abril,2023,WEBCAM LOGITECH C920,2,79900,Aprovado
1045,2023-04-30,4,Abril,2023,PLACA DE VIDEO RTX 3060,1,289900,Cancelado
1046,2023-05-03,5,Maio,2023,IPHONE 13,4,459990,Aprovado
1047,2023-05-06,5,Maio,2023,FONTE CORSAIR 650W,2,59900,Aprovado
1048,2023-05-08,5,Maio,2023,NOTEBOOK DELL INSPIRON,2,429900,Pendente
